insee;CS1.1.1.1;CS1.1.1.2;CS1.1.2.1;CS1.1.2.2;CS1.2.1;CS1.2.2;CS2.1.1.1;CS2.1.1.2;CS2.1.1.3;CS2.1.2;CS2.1.3;CS2.1.3.1;CS2.1.3.2;CS2.2.1;CS2.2.1.1;CS2.2.1.2;CS2.2.1.4;CS2.2.1.5;CS2.2.2
58009;1.67;;0.563;;;;0.336;;;;;0.1;;;281.377;2.899;221.623;;
58013;1.39;;1.874;;;;;;;;;;;;211.083;2.416;297.441;;
58014;1.683;;1.782;;;;;;;;;;;;184.747;1.309;563.25;;
58018;0.483;;0.363;;;;;;;;;;;;117.769;0.708;500.474;;
58027;0.896;;0.086;;;;2.351;;;;;;;;730.832;2.136;129.261;;
58042;0.27;;;;;;;;;;;0.453;;;73.559;0.764;583.485;;
58045;2.198;;2.95;;;;;;;;;24.082;;;354.559;3.898;326.97;;
58051;2.822;;2.341;;;;;;;;;;;;824.58;6.373;441.035;;
58056;0.972;;1.248;;;;;;;;;1.929;;;213.105;2.184;437.832;;
58059;0.643;0.28;0.472;;;;0.508;;;;;0.631;;;281.974;1.538;504.383;;
58061;1.837;;2.387;;;;;;;;;27.078;;;285.141;4.082;467.015;;
58067;0.911;;0.138;;;;;;;;;1.873;;;452.536;3.606;582.782;;
58088;1.323;0.304;0.68;;;;0.126;;;;;;;;358.592;5.244;260.446;;
58101;3.725;;4.184;;;;0.977;;;;;;;;405.122;2.69;299.846;;
58112;2.561;;1.681;;;;;;;;;0.524;;;910.866;1.393;736.293;;
58117;;;;;;;;;;;;;;;45.03;;56.898;;
58121;0.809;0.398;1.963;;;;;;;;;;;;748.115;0.624;180.03;;
58124;1.486;0.054;0.775;;;;2.36;;;;;1.331;;;405.57;3.175;860.48;;
58126;2.159;;1.017;;;;;;;;;;;;459.866;4.752;467.513;;
58127;1.148;;0.17;;;;0.281;;;;;;;;470.417;3.864;434.626;;
58131;0.022;;;;;;;;;;;;;;104.449;;18.989;;
58143;1.503;;1.199;;;;;;;;;;;;255.875;1.825;248.709;;
58147;3.501;;2.441;;;;;;;;;;;;1504.083;3.727;565.666;;
58155;0.458;;0.482;;;;0.498;;;;;;;;51.666;2.27;610.811;;
58160;3.264;;2.449;;;;1.19;;;;;0.342;;;935.711;15.05;221.163;;
58164;0.769;;0.69;;;;;;;;;9.522;;;97.745;2.83;629.433;;
58174;1.887;;1.685;;;;;;;;;;;;517.916;4.436;495.785;;
58176;1.394;0.474;0.588;;;;;;;;;;;;404.901;4.009;456.625;;
58186;0.513;;0.845;;;;;;;;;;;;227.522;2.922;169.556;;
58188;0.259;0.211;;;;;;;;;;7.573;;;164.12;;355.104;;
58189;1.529;;1.569;;;;1.207;;;;;;;;198.378;1.896;1765.586;;
58194;0.59;;;;;;0.355;;;;;;;;60.501;1.91;25.489;;
58196;1.488;;1.672;;;;1.48;;;;;0.282;;;1139.63;6.218;426.344;;
58203;0.997;;1.715;;;;;;;;;;;;232.063;0.853;462.884;;
58204;3.221;0.188;1.451;;;;;;;;;;;;662.443;5.218;1207.283;;
58207;4.193;0.221;3.696;;;;;;;;;1.644;;;1095.923;23.352;360.582;;
58212;1.653;;1.133;;;;;;;;;;;;538.982;3.695;294.048;;
58214;2.164;0.236;1.626;;;;;;;;;0.066;;;548.792;41.778;251.103;;
58218;2.97;;2.431;;;;;;;;;;;;843.745;7.233;500.343;;
58220;0.973;;0.743;;;;;;;;;0.486;;;172.572;17.779;632.69;;
58231;1.078;;;;;;;;;;;;;;774.938;4.028;97.1;;
58232;3.545;0.408;2.256;;;;0.29;;;;;0.6;;;1329.714;7.234;844.126;;
58233;1.886;;0.389;;;;;;;;;;;;750.656;3.133;314.035;;
58234;0.465;;0.435;;;;;;;;;;;;219.54;0.739;96.766;;
58238;1.825;;0.217;;;;0.443;;;;;;;;633.55;3.045;147.235;;
58239;0.33;;0.512;;;;;;;;;;;;511.685;0.113;275.681;;
58247;3.457;0.451;4.096;;;;0.151;;;;;;;;493.753;5.111;980.851;;
58254;0.857;0.289;0.139;;;;;;;;;;;;375.163;2.109;59.785;;
58269;3.201;;1.422;;;;;;;;;0.355;;;712.388;3.796;597.514;;
58273;1.756;;2.099;;;;2.056;;;;;;;;462.24;2.077;375.83;;
58278;3.814;0.099;3.533;;;;;;;;;;;;949.77;2.128;625.938;;
58279;1.329;0.274;0.472;;;;0.16;;;;;;;;169.324;3.24;96.583;;
58298;0.928;;1.877;;;;1.089;;;;;;;;173.103;1.36;431.44;;
58300;1.918;;1.528;;;;2.408;;;;;;;;620.716;2.86;313.538;;
58302;1.158;0.231;1.104;;;;2.723;;;;;0.132;;;147.353;4.145;1156.47;;
58303;3.667;0.378;1.868;;;;0.98;;;;;;;;942.413;26.997;778.879;;